TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
1075,XXX,2024-05-01,6,23,0,2024-05-01 06:22:59.999,CJOU214760232
1075,XXX,2024-05-01,6,23,1,2024-05-01 06:22:59.999,CJOU214760220
1075,XXX,2024-05-01,14,11,1,2024-05-01 14:11:00.000,CJOU214760220
1075,XXX,2024-05-01,14,21,0,2024-05-01 14:21:00.000,CJOU214760232
1075,XXX,2024-05-01,22,6,1,2024-05-01 22:06:00.000,CJOU214760220
1078,XXX,2024-05-01,6,10,0,2024-05-01 06:10:00.000,CJOU214760232
1078,XXX,2024-05-01,6,10,1,2024-05-01 06:10:00.000,CJOU214760220
1078,XXX,2024-05-01,14,8,1,2024-05-01 14:07:59.999,CJOU214760220
1080,XXX,2024-05-01,13,56,0,2024-05-01 13:55:59.999,CJOU214760232
1081,XXX,2024-05-01,6,25,1,2024-05-01 06:24:59.999,CJOU214760220
1081,XXX,2024-05-01,6,26,0,2024-05-01 06:25:59.999,CJOU214760232
1081,XXX,2024-05-01,14,5,1,2024-05-01 14:04:59.999,CJOU214760220
1082,XXX,2024-05-01,21,18,0,2024-05-01 21:18:00.000,CJOU214760232
1084,XXX,2024-05-01,22,1,0,2024-05-01 22:00:59.999,CJOU214760232
1085,XXX,2024-05-01,5,56,0,2024-05-01 05:56:00.000,CJOU214760232
1085,XXX,2024-05-01,5,56,1,2024-05-01 05:56:00.000,CJOU214760220
1085,XXX,2024-05-01,14,5,1,2024-05-01 14:04:59.999,CJOU214760220
1086,XXX,2024-05-01,6,3,0,2024-05-01 06:02:59.999,CJOU214760232
1086,XXX,2024-05-01,23,48,1,2024-05-01 23:48:00.000,CJOU214760220
1088,XXX,2024-05-01,13,55,0,2024-05-01 13:54:59.999,CJOU214760232
1088,XXX,2024-05-01,21,38,1,2024-05-01 21:37:59.999,CJOU214760220
1089,XXX,2024-05-01,6,5,1,2024-05-01 06:04:59.999,CJOU214760220
1089,XXX,2024-05-01,6,6,0,2024-05-01 06:06:00.000,CJOU214760232
1089,XXX,2024-05-01,15,47,1,2024-05-01 15:46:59.999,CJOU214760220
1094,XXX,2024-05-01,13,50,0,2024-05-01 13:50:00.000,CJOU214760232
1094,XXX,2024-05-01,21,58,1,2024-05-01 21:57:59.999,CJOU214760220
1097,XXX,2024-05-01,22,1,0,2024-05-01 22:00:59.999,CJOU214760232
1099,XXX,2024-05-01,6,4,0,2024-05-01 06:03:59.999,CJOU214760232
1099,XXX,2024-05-01,14,1,1,2024-05-01 14:01:00.000,CJOU214760220
1102,XXX,2024-05-01,5,45,0,2024-05-01 05:45:00.000,CJOU214760232
1102,XXX,2024-05-01,5,45,1,2024-05-01 05:45:00.000,CJOU214760220
1104,XXX,2024-05-01,5,43,0,2024-05-01 05:42:59.999,CJOU214760232
