TOKEN,PDATE,INTIME1,OUTTIME1,INTIME2,OUTTIME2,INTIME3,OUTTIME3,INTIME4,OUTTIME4,INTIME,OUTTIME,TOTALTIME,REMARKS,MODE,PUNCH_STATUS,OT,SHIFT_STATUS,SHIFT_ST,SHIFT_ED,WORKHRS
10001,2025-10-14,2025-10-14 07:02,2025-10-14 17:32,,,,,,,2025-10-14 07:02,2025-10-14 17:32,10:30,,1.0,PR,02:30,1S,2025-10-14 06:00:00,2025-10-14 14:30:00,8.3
10001,2025-10-14,2025-10-14 07:02,2025-10-14 17:32,,,,,,,2025-10-14 07:02,2025-10-14 17:32,10:30,,1.0,PR,02:30,1S,2025-10-14 06:00:00,2025-10-14 14:30:00,8.3
10001,2025-10-15,2025-10-15 06:52,2025-10-15 18:28,,,,,,,2025-10-15 06:52,2025-10-15 18:28,11:36,,1.0,PR,03:36,1S,2025-10-15 06:00:00,2025-10-15 14:30:00,8.3
10001,2025-10-15,2025-10-15 06:52,2025-10-15 18:28,,,,,,,2025-10-15 06:52,2025-10-15 18:28,11:36,,1.0,PR,03:36,1S,2025-10-15 06:00:00,2025-10-15 14:30:00,8.3
10001,2025-10-16,2025-10-16 06:52,2025-10-16 18:04,,,,,,,2025-10-16 06:52,2025-10-16 18:04,11:12,,1.0,PR,03:12,1S,2025-10-16 06:00:00,2025-10-16 14:30:00,8.3
10001,2025-10-16,2025-10-16 06:52,2025-10-16 18:04,,,,,,,2025-10-16 06:52,2025-10-16 18:04,11:12,,1.0,PR,03:12,1S,2025-10-16 06:00:00,2025-10-16 14:30:00,8.3
10001,2025-10-17,2025-10-17 07:09,2025-10-17 18:10,,,,,,,2025-10-17 07:09,2025-10-17 18:10,11:01,,1.0,PR,03:01,1S,2025-10-17 06:00:00,2025-10-17 14:30:00,8.3
10001,2025-10-17,2025-10-17 07:09,2025-10-17 18:10,,,,,,,2025-10-17 07:09,2025-10-17 18:10,11:01,,1.0,PR,03:01,1S,2025-10-17 06:00:00,2025-10-17 14:30:00,8.3
10001,2025-10-18,2025-10-18 07:02,2025-10-18 14:15,,,,,,,2025-10-18 07:02,2025-10-18 14:15,07:13,,1.0,HD,00:00,1S,2025-10-18 06:00:00,2025-10-18 14:30:00,8.3
10001,2025-10-18,2025-10-18 07:02,2025-10-18 14:15,,,,,,,2025-10-18 07:02,2025-10-18 14:15,07:13,,1.0,HD,00:00,1S,2025-10-18 06:00:00,2025-10-18 14:30:00,8.3
10001,2025-10-19,2025-10-19 12:22,2025-10-19 20:20,,,,,,,2025-10-19 12:22,2025-10-19 20:20,07:58,,1.0,HD,00:00,1S,2025-10-19 06:00:00,2025-10-19 14:30:00,8.3
10001,2025-10-19,2025-10-19 12:22,2025-10-19 20:20,,,,,,,2025-10-19 12:22,2025-10-19 20:20,07:58,,1.0,HD,00:00,1S,2025-10-19 06:00:00,2025-10-19 14:30:00,8.3
10001,2025-10-20,2025-10-20 07:03,2025-10-20 14:15,,,,,,,2025-10-20 07:03,2025-10-20 14:15,07:12,,1.0,HD,00:00,1S,2025-10-20 06:00:00,2025-10-20 14:30:00,8.3
10001,2025-10-20,2025-10-20 07:03,2025-10-20 14:15,,,,,,,2025-10-20 07:03,2025-10-20 14:15,07:12,,1.0,HD,00:00,1S,2025-10-20 06:00:00,2025-10-20 14:30:00,8.3
10001,2025-10-21,2025-10-21 07:10,2025-10-21 18:11,,,,,,,2025-10-21 07:10,2025-10-21 18:11,11:01,,1.0,PR,03:01,1S,2025-10-21 06:00:00,2025-10-21 14:30:00,8.3
10001,2025-10-21,2025-10-21 07:10,2025-10-21 18:11,,,,,,,2025-10-21 07:10,2025-10-21 18:11,11:01,,1.0,PR,03:01,1S,2025-10-21 06:00:00,2025-10-21 14:30:00,8.3
10001,2025-10-22,2025-10-22 07:05,2025-10-22 14:06,,,,,,,2025-10-22 07:05,2025-10-22 14:06,07:01,,1.0,HD,00:00,1S,2025-10-22 06:00:00,2025-10-22 14:30:00,8.3
10001,2025-10-22,2025-10-22 07:05,2025-10-22 14:06,,,,,,,2025-10-22 07:05,2025-10-22 14:06,07:01,,1.0,HD,00:00,1S,2025-10-22 06:00:00,2025-10-22 14:30:00,8.3
10001,2025-10-23,2025-10-23 07:01,2025-10-23 18:16,,,,,,,2025-10-23 07:01,2025-10-23 18:16,11:15,,1.0,PR,03:15,1S,2025-10-23 06:00:00,2025-10-23 14:30:00,8.3
10001,2025-10-23,2025-10-23 07:01,2025-10-23 18:16,,,,,,,2025-10-23 07:01,2025-10-23 18:16,11:15,,1.0,PR,03:15,1S,2025-10-23 06:00:00,2025-10-23 14:30:00,8.3
10001,2025-10-24,2025-10-24 07:08,2025-10-24 18:09,,,,,,,2025-10-24 07:08,2025-10-24 18:09,11:01,,1.0,PR,03:01,1S,2025-10-24 06:00:00,2025-10-24 14:30:00,8.3
10001,2025-10-24,2025-10-24 07:08,2025-10-24 18:09,,,,,,,2025-10-24 07:08,2025-10-24 18:09,11:01,,1.0,PR,03:01,1S,2025-10-24 06:00:00,2025-10-24 14:30:00,8.3
10001,2025-10-25,2025-10-25 07:17,2025-10-25 14:18,,,,,,,2025-10-25 07:17,2025-10-25 14:18,07:01,,1.0,HD,00:00,1S,2025-10-25 06:00:00,2025-10-25 14:30:00,8.3
10001,2025-10-25,2025-10-25 07:17,2025-10-25 14:18,,,,,,,2025-10-25 07:17,2025-10-25 14:18,07:01,,1.0,HD,00:00,1S,2025-10-25 06:00:00,2025-10-25 14:30:00,8.3
10001,2025-10-26,2025-10-26 13:50,2025-10-26 20:51,,,,,,,2025-10-26 13:50,2025-10-26 20:51,07:01,,1.0,HD,00:00,1S,2025-10-26 06:00:00,2025-10-26 14:30:00,8.3
10001,2025-10-26,2025-10-26 13:50,2025-10-26 20:51,,,,,,,2025-10-26 13:50,2025-10-26 20:51,07:01,,1.0,HD,00:00,1S,2025-10-26 06:00:00,2025-10-26 14:30:00,8.3
10001,2025-10-27,2025-10-27 07:30,2025-10-27 18:31,,,,,,,2025-10-27 07:30,2025-10-27 18:31,11:01,,1.0,PR,03:01,1S,2025-10-27 06:00:00,2025-10-27 14:30:00,8.3
10001,2025-10-27,2025-10-27 07:30,2025-10-27 18:31,,,,,,,2025-10-27 07:30,2025-10-27 18:31,11:01,,1.0,PR,03:01,1S,2025-10-27 06:00:00,2025-10-27 14:30:00,8.3
10001,2025-10-28,2025-10-28 07:08,2025-10-28 18:11,,,,,,,2025-10-28 07:08,2025-10-28 18:11,11:03,,1.0,PR,03:03,1S,2025-10-28 06:00:00,2025-10-28 14:30:00,8.3
10001,2025-10-28,2025-10-28 07:08,2025-10-28 18:11,,,,,,,2025-10-28 07:08,2025-10-28 18:11,11:03,,1.0,PR,03:03,1S,2025-10-28 06:00:00,2025-10-28 14:30:00,8.3
10001,2025-10-29,,,,,,,,,,,,,,AB,,1S,2025-10-29 06:00:00,2025-10-29 14:30:00,8.3
10001,2025-10-29,,,,,,,,,,,,,,AB,,1S,2025-10-29 06:00:00,2025-10-29 14:30:00,8.3
10001,2025-10-30,,,,,,,,,,,,,,AB,,1S,2025-10-30 06:00:00,2025-10-30 14:30:00,8.3
10001,2025-10-30,,,,,,,,,,,,,,AB,,1S,2025-10-30 06:00:00,2025-10-30 14:30:00,8.3
10001,2025-10-31,,,,,,,,,,,,,,AB,,1S,2025-10-31 06:00:00,2025-10-31 14:30:00,8.3
10001,2025-10-31,,,,,,,,,,,,,,AB,,1S,2025-10-31 06:00:00,2025-10-31 14:30:00,8.3
