TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10002,001,2025-08-10,7,5,0,2025-08-10 07:05:00,CGCA231160041,False
10002,001,2025-08-10,14,0,1,2025-08-10 14:00:00,WED3240401322,False
10002,001,2025-08-11,14,6,0,2025-08-11 14:06:00,CGCA231160041,False
10002,001,2025-08-11,21,5,1,2025-08-11 21:05:00,WED3240401322,False
10002,001,2025-08-12,13,50,0,2025-08-12 13:50:00,CGCA231160041,False
10002,001,2025-08-12,21,0,1,2025-08-12 21:00:00,WED3240401322,False
10002,001,2025-08-13,20,49,0,2025-08-13 20:49:00,CGCA231160041,False
10002,001,2025-08-14,7,22,0,2025-08-14 07:22:00,CGCA231160041,False
10002,001,2025-08-14,13,50,0,2025-08-14 13:50:00,CGCA231160041,False
10002,001,2025-08-14,21,0,1,2025-08-14 21:00:00,WED3240401322,False
10002,001,2025-08-15,13,50,0,2025-08-15 13:50:00,CGCA231160041,False
10002,001,2025-08-15,21,1,1,2025-08-15 21:01:00,WED3240401322,False
10002,001,2025-08-16,13,50,0,2025-08-16 13:50:00,CGCA231160041,False
10002,001,2025-08-16,21,0,1,2025-08-16 21:00:00,WED3240401322,False
10002,001,2025-08-17,20,50,0,2025-08-17 20:50:00,CGCA231160041,False
10002,001,2025-08-18,7,11,1,2025-08-18 07:11:00,WED3240401322,False
10002,001,2025-08-18,20,50,0,2025-08-18 20:50:00,CGCA231160041,False
10002,001,2025-08-19,7,15,1,2025-08-19 07:15:00,WED3240401322,False
10002,001,2025-08-19,20,50,0,2025-08-19 20:50:00,CGCA231160041,False
10002,001,2025-08-20,7,0,1,2025-08-20 07:00:00,WED3240401322,False
10002,001,2025-08-20,20,50,0,2025-08-20 20:50:00,CGCA231160041,False
10002,001,2025-08-21,7,5,1,2025-08-21 07:05:00,WED3240401322,False
10002,001,2025-08-21,20,50,0,2025-08-21 20:50:00,CGCA231160041,False
10002,001,2025-08-22,7,0,1,2025-08-22 07:00:00,WED3240401322,False
10002,001,2025-08-22,20,50,0,2025-08-22 20:50:00,CGCA231160041,False
10002,001,2025-08-23,7,5,1,2025-08-23 07:05:00,WED3240401322,False
10002,001,2025-08-23,20,50,0,2025-08-23 20:50:00,CGCA231160041,False
10002,001,2025-08-24,7,0,1,2025-08-24 07:00:00,WED3240401322,False
10002,001,2025-08-24,7,5,0,2025-08-24 07:05:00,CGCA231160041,False
10002,001,2025-08-24,14,1,1,2025-08-24 14:01:00,WED3240401322,False
10002,001,2025-08-25,13,50,0,2025-08-25 13:50:00,CGCA231160041,False
10002,001,2025-08-25,21,0,1,2025-08-25 21:00:00,WED3240401322,False
10002,001,2025-08-26,13,50,0,2025-08-26 13:50:00,CGCA231160041,False
10002,001,2025-08-26,21,0,1,2025-08-26 21:00:00,WED3240401322,False
10002,001,2025-08-27,13,50,0,2025-08-27 13:50:00,CGCA231160041,False
10002,001,2025-08-27,21,0,1,2025-08-27 21:00:00,WED3240401322,False
10002,001,2025-08-28,13,50,0,2025-08-28 13:50:00,CGCA231160041,False
10002,001,2025-08-28,21,0,1,2025-08-28 21:00:00,WED3240401322,False
10002,001,2025-08-29,13,50,0,2025-08-29 13:50:00,CGCA231160041,False
10002,001,2025-08-29,21,0,1,2025-08-29 21:00:00,WED3240401322,False
10002,001,2025-08-30,14,17,0,2025-08-30 14:17:00,CGCA231160041,False
10002,001,2025-08-30,21,0,1,2025-08-30 21:00:00,WED3240401322,False
10002,001,2025-08-31,20,50,0,2025-08-31 20:50:00,CGCA231160041,False
10002,001,2025-09-01,7,0,1,2025-09-01 07:00:00,WED3240401322,False
10003,001,2025-08-01,7,5,1,2025-08-01 07:05:00,WED3240401322,False
10003,001,2025-08-01,19,43,0,2025-08-01 19:43:00,CGCA231160041,False
10003,001,2025-08-02,7,2,1,2025-08-02 07:02:00,WED3240401322,False
10003,001,2025-08-02,19,49,0,2025-08-02 19:49:00,CGCA231160041,False
10003,001,2025-08-03,5,18,1,2025-08-03 05:18:00,WED3240401322,False
10003,001,2025-08-03,5,19,0,2025-08-03 05:19:00,CGCA231160041,False
10003,001,2025-08-03,13,6,1,2025-08-03 13:06:00,WED3240401322,False
10003,001,2025-08-04,13,5,0,2025-08-04 13:05:00,CGCA231160041,False
10003,001,2025-08-04,20,55,1,2025-08-04 20:55:00,WED3240401322,False
10003,001,2025-08-04,20,56,1,2025-08-04 20:56:00,WED3240401322,False
10003,001,2025-08-05,13,54,0,2025-08-05 13:54:00,CGCA231160041,False
10003,001,2025-08-05,21,1,1,2025-08-05 21:01:00,WED3240401322,False
10003,001,2025-08-06,13,53,0,2025-08-06 13:53:00,CGCA231160041,False
10003,001,2025-08-06,21,0,1,2025-08-06 21:00:00,WED3240401322,False
10003,001,2025-08-07,13,49,0,2025-08-07 13:49:00,CGCA231160041,False
10003,001,2025-08-07,21,0,1,2025-08-07 21:00:00,WED3240401322,False
10003,001,2025-08-08,13,56,0,2025-08-08 13:56:00,CGCA231160041,False
10003,001,2025-08-08,21,0,1,2025-08-08 21:00:00,WED3240401322,False
10003,001,2025-08-09,6,46,0,2025-08-09 06:46:00,CGCA231160041,False
10003,001,2025-08-09,13,56,1,2025-08-09 13:56:00,WED3240401322,False
10003,001,2025-08-09,14,0,0,2025-08-09 14:00:00,CGCA231160041,False
10003,001,2025-08-09,21,0,1,2025-08-09 21:00:00,WED3240401322,False
10003,001,2025-08-10,20,53,0,2025-08-10 20:53:00,CGCA231160041,False
10003,001,2025-08-11,7,5,1,2025-08-11 07:05:00,WED3240401322,False
10003,001,2025-08-11,20,55,0,2025-08-11 20:55:00,CGCA231160041,False
10003,001,2025-08-12,7,0,1,2025-08-12 07:00:00,WED3240401322,False
10003,001,2025-08-12,20,55,0,2025-08-12 20:55:00,CGCA231160041,False
10003,001,2025-08-13,7,20,1,2025-08-13 07:20:00,WED3240401322,False
10003,001,2025-08-13,13,52,0,2025-08-13 13:52:00,CGCA231160041,False
10003,001,2025-08-13,21,0,1,2025-08-13 21:00:00,WED3240401322,False
10003,001,2025-08-14,20,55,0,2025-08-14 20:55:00,CGCA231160041,False
10003,001,2025-08-15,7,0,1,2025-08-15 07:00:00,WED3240401322,False
10003,001,2025-08-15,20,50,0,2025-08-15 20:50:00,CGCA231160041,False
10003,001,2025-08-16,7,8,1,2025-08-16 07:08:00,WED3240401322,False
