TOKEN,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
624,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
625,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
626,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
627,PR,AB,AB,PR,PR,AB,AB,PR,PR,PR,PR,PR,PR,PR,HD,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,AB,AB,AB
628,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
629,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
630,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
631,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
632,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
633,HD,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
634,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
635,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
636,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
637,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
638,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
639,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
640,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
641,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
642,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
643,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
644,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
645,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
646,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
647,PR,PR,PR,HD,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,PR,PR
648,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
649,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
650,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
651,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
652,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
653,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
654,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
655,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
656,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
657,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
658,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
659,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR
660,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR
661,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
662,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
663,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
664,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
665,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
666,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
667,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
668,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
669,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
670,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
671,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
672,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
673,AB,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,AB,PR,HD
674,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
675,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
676,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
677,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
678,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
679,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,AB,AB,PR,PR,HD,PR,PR,HD
680,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
681,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
682,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,HD,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,PR,PR,PR
683,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
684,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
685,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR
686,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
687,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
688,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
689,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
690,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
691,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
692,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,HD,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
693,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR
694,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
695,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,PR,PR,PR,PR,AB,PR,PR,PR,PR
696,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,HD,AB,AB,AB,AB,AB,AB,AB
697,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
698,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
699,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
700,PR,PR,PR,PR,PR,AB,PR,HD,AB,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB
701,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
702,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
703,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR
704,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
705,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR
706,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
707,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
708,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
709,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
710,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR
711,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR
712,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR
713,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR
714,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
715,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
716,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,HD,PR,PR,HD,HD,PR,PR,HD,PR,PR,PR,PR,PR
717,AB,AB,AB,AB,AB,AB,AB,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
718,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
719,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
720,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
721,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
722,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB
723,PR,PR,PR,PR,AB,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR
724,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
725,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
726,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
727,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
728,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
729,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,HD,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,HD,HD,PR,PR,PR,PR,PR,HD
730,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
731,PR,HD,PR,PR,PR,PR,PR,HD,PR,HD,HD,PR,PR,HD,PR,PR,AB,PR,PR,PR,PR,PR,HD,PR,HD,PR,HD,PR,PR,PR,PR
732,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR
733,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
734,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,PR,PR,AB
735,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
736,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR
737,PR,PR,PR,PR,AB,AB,PR,HD,PR,HD,AB,AB,AB,HD,HD,HD,PR,PR,AB,HD,HD,HD,AB,AB,AB,AB,AB,HD,PR,HD,HD
738,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR
739,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
740,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
741,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
742,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR
743,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
744,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR
745,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB
746,PR,PR,AB,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR
747,PR,PR,HD,PR,PR,PR,PR,AB,PR,PR,PR,HD,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
748,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
749,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,PR,PR,PR,PR,PR
750,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
751,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,AB,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,PR
752,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
753,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
754,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
755,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
756,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
757,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
758,PR,AB,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,AB,PR,PR,PR,AB,AB,PR,PR,PR,PR
759,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
760,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB
761,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
762,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,AB,AB,AB,PR,PR
763,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB,AB,AB,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR
764,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR
765,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,PR,HD,HD,PR,PR,PR,AB,AB,PR,HD,PR,PR,AB,HD,PR,PR,PR,AB,PR
766,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR
767,AB,PR,AB,PR,PR,PR,AB,AB,AB,AB,PR,AB,AB,AB,AB,AB,AB,HD,PR,PR,PR,PR,PR,PR,HD,PR,PR,PR,PR,PR,PR
768,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,PR,PR,PR,AB,AB,PR,PR,PR,PR
769,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,AB
