TOKEN,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10,day11,day12,day13,day14,day15,day16,day17,day18,day19,day20,day21,day22,day23,day24,day25,day26,day27,day28,day29,day30,day31
54,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,AB
55,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,HD,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR
57,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB
58,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR,AB,PR,PR,PR,AB,PR,PR,PR,PR
62,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
63,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,AB,PR,PR,AB
65,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB
66,HD,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,HD,PR,PR,PR,HD,AB,PR,PR,PR,PR,PR,HD,PR,PR,PR,PR,PR,AB
67,PR,PR,HD,PR,PR,PR,AB,AB,PR,PR,PR,PR,HD,PR,PR,PR,HD,PR,PR,PR,HD,PR,AB,AB,PR,PR,PR,PR,PR,PR,PR
68,PR,HD,PR,PR,PR,PR,AB,PR,PR,AB,PR,PR,PR,PR,PR,AB,AB,PR,PR,PR,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB
71,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
73,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
78,PR,PR,PR,PR,PR,AB,PR,PR,HD,PR,PR,PR,PR,PR,AB,PR,PR,PR,AB,PR,PR,PR,PR,PR,PR,AB,AB,AB,PR,PR,PR
83,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
84,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
85,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
88,PR,PR,PR,PR,PR,PR,PR,PR,AB,PR,PR,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB,AB
92,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,PR,AB
