TOKEN,COMCODE,PDATE,INTIME1,OUTTIME1,INTIME2,OUTTIME2,INTIME3,OUTTIME3,INTIME4,OUTTIME4,INTIME,OUTTIME,TOTALTIME,PUNCH_STATUS,REMARKS,OT,SHIFT_STATUS,inc_grt_minutes,gratime_minutes,workhrs_minutes,halfday_minutes,workhrs,shift_st_time,shift_ed_time,TOTAL_HRS,TOTPASSHRS
20006,002,2026-01-15 00:00:00,2026-01-15 07:10,2026-01-15 14:08,,,,,,,2026-01-15 07:10:00,2026-01-15 14:08:00,06:58,PR,,,1A,0.0,10.0,420.0,210.0,7.0,07:00,14:00,06:58,
20006,002,2026-01-16 00:00:00,2026-01-15 20:58,2026-01-16 14:31,,,,,,,2026-01-15 20:58:00,2026-01-16 14:31:00,17:33,PR,,,1A,0.0,10.0,420.0,210.0,7.0,07:00,14:00,17:33,
