TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10003,001,2025-09-10,7,9,1,2025-09-10 07:09:00,WED3240401322,False
10003,001,2025-09-10,20,50,0,2025-09-10 20:50:00,CGCA231160041,False
10003,001,2025-09-11,7,13,1,2025-09-11 07:13:00,WED3240401322,False
10003,001,2025-09-11,20,50,0,2025-09-11 20:50:00,CGCA231160041,False
10003,001,2025-09-12,7,12,1,2025-09-12 07:12:00,WED3240401322,False
10003,001,2025-09-12,20,50,0,2025-09-12 20:50:00,CGCA231160041,False
10003,001,2025-09-13,7,0,1,2025-09-13 07:00:00,WED3240401322,False
10003,001,2025-09-13,13,50,0,2025-09-13 13:50:00,CGCA231160041,False
10003,001,2025-09-13,21,0,1,2025-09-13 21:00:00,WED3240401322,False
10003,001,2025-09-14,6,50,0,2025-09-14 06:50:00,CGCA231160041,False
10003,001,2025-09-14,14,11,1,2025-09-14 14:11:00,WED3240401322,False
10003,001,2025-09-15,13,50,0,2025-09-15 13:50:00,CGCA231160041,False
10003,001,2025-09-15,21,0,1,2025-09-15 21:00:00,WED3240401322,False
10004,001,2025-09-01,7,47,0,2025-09-01 07:47:00,CGCA231160041,False
10004,001,2025-09-01,16,19,1,2025-09-01 16:19:00,WED3240401322,False
10004,001,2025-09-02,7,46,0,2025-09-02 07:46:00,CGCA231160041,False
10004,001,2025-09-02,16,17,1,2025-09-02 16:17:00,WED3240401322,False
10004,001,2025-09-03,7,53,0,2025-09-03 07:53:00,CGCA231160041,False
10004,001,2025-09-03,16,11,1,2025-09-03 16:11:00,WED3240401322,False
10004,001,2025-09-05,7,53,0,2025-09-05 07:53:00,CGCA231160041,False
10004,001,2025-09-05,16,11,1,2025-09-05 16:11:00,WED3240401322,False
10004,001,2025-09-06,7,54,0,2025-09-06 07:54:00,CGCA231160041,False
10004,001,2025-09-06,16,16,1,2025-09-06 16:16:00,WED3240401322,False
10004,001,2025-09-08,8,1,0,2025-09-08 08:01:00,CGCA231160041,False
10004,001,2025-09-08,16,21,1,2025-09-08 16:21:00,WED3240401322,False
10004,001,2025-09-09,7,41,0,2025-09-09 07:41:00,CGCA231160041,False
10004,001,2025-09-09,16,14,1,2025-09-09 16:14:00,WED3240401322,False
10004,001,2025-09-10,7,48,0,2025-09-10 07:48:00,CGCA231160041,False
10004,001,2025-09-10,16,6,1,2025-09-10 16:06:00,WED3240401322,False
10004,001,2025-09-11,7,54,0,2025-09-11 07:54:00,CGCA231160041,False
10004,001,2025-09-11,16,8,1,2025-09-11 16:08:00,WED3240401322,False
10004,001,2025-09-12,7,54,0,2025-09-12 07:54:00,CGCA231160041,False
10004,001,2025-09-12,16,12,1,2025-09-12 16:12:00,WED3240401322,False
10004,001,2025-09-13,7,52,0,2025-09-13 07:52:00,CGCA231160041,False
10004,001,2025-09-13,16,18,1,2025-09-13 16:18:00,WED3240401322,False
10004,001,2025-09-15,7,51,0,2025-09-15 07:51:00,CGCA231160041,False
10004,001,2025-09-15,16,36,1,2025-09-15 16:36:00,WED3240401322,False
10006,001,2025-09-01,7,26,0,2025-09-01 07:26:00,CGCA231160041,False
10006,001,2025-09-01,15,32,1,2025-09-01 15:32:00,WED3240401322,False
10006,001,2025-09-02,7,18,0,2025-09-02 07:18:00,CGCA231160041,False
10006,001,2025-09-02,15,30,1,2025-09-02 15:30:00,WED3240401322,False
10006,001,2025-09-03,7,13,0,2025-09-03 07:13:00,CGCA231160041,False
10006,001,2025-09-03,15,32,1,2025-09-03 15:32:00,WED3240401322,False
10006,001,2025-09-04,7,15,0,2025-09-04 07:15:00,CGCA231160041,False
10006,001,2025-09-04,15,29,1,2025-09-04 15:29:00,WED3240401322,False
10006,001,2025-09-05,7,22,0,2025-09-05 07:22:00,CGCA231160041,False
10006,001,2025-09-05,15,30,1,2025-09-05 15:30:00,WED3240401322,False
10006,001,2025-09-06,7,18,0,2025-09-06 07:18:00,CGCA231160041,False
10006,001,2025-09-06,15,30,1,2025-09-06 15:30:00,WED3240401322,False
10006,001,2025-09-08,7,19,0,2025-09-08 07:19:00,CGCA231160041,False
10006,001,2025-09-08,15,31,1,2025-09-08 15:31:00,WED3240401322,False
10006,001,2025-09-09,7,19,0,2025-09-09 07:19:00,CGCA231160041,False
10006,001,2025-09-09,15,31,1,2025-09-09 15:31:00,WED3240401322,False
10006,001,2025-09-10,7,24,0,2025-09-10 07:24:00,CGCA231160041,False
10006,001,2025-09-10,15,31,1,2025-09-10 15:31:00,WED3240401322,False
10006,001,2025-09-11,7,22,0,2025-09-11 07:22:00,CGCA231160041,False
10006,001,2025-09-11,15,32,1,2025-09-11 15:32:00,WED3240401322,False
10006,001,2025-09-12,7,25,0,2025-09-12 07:25:00,CGCA231160041,False
10006,001,2025-09-12,15,31,1,2025-09-12 15:31:00,WED3240401322,False
10006,001,2025-09-13,7,22,0,2025-09-13 07:22:00,CGCA231160041,False
10006,001,2025-09-13,15,42,1,2025-09-13 15:42:00,WED3240401322,False
10006,001,2025-09-15,7,18,0,2025-09-15 07:18:00,CGCA231160041,False
10006,001,2025-09-15,15,35,1,2025-09-15 15:35:00,WED3240401322,False
10007,001,2025-09-01,7,28,0,2025-09-01 07:28:00,CGCA231160041,False
10007,001,2025-09-01,15,32,1,2025-09-01 15:32:00,WED3240401322,False
10007,001,2025-09-02,7,30,0,2025-09-02 07:30:00,CGCA231160041,False
10007,001,2025-09-02,15,30,1,2025-09-02 15:30:00,WED3240401322,False
10007,001,2025-09-03,7,32,0,2025-09-03 07:32:00,CGCA231160041,False
10007,001,2025-09-03,15,32,1,2025-09-03 15:32:00,WED3240401322,False
10007,001,2025-09-05,7,27,0,2025-09-05 07:27:00,CGCA231160041,False
10007,001,2025-09-05,15,30,1,2025-09-05 15:30:00,WED3240401322,False
10007,001,2025-09-06,7,24,0,2025-09-06 07:24:00,CGCA231160041,False
10007,001,2025-09-06,15,31,1,2025-09-06 15:31:00,WED3240401322,False
10007,001,2025-09-08,7,25,0,2025-09-08 07:25:00,CGCA231160041,False
10007,001,2025-09-08,15,31,1,2025-09-08 15:31:00,WED3240401322,False
10007,001,2025-09-09,7,12,0,2025-09-09 07:12:00,CGCA231160041,False
10007,001,2025-09-09,15,31,1,2025-09-09 15:31:00,WED3240401322,False
10007,001,2025-09-10,7,26,0,2025-09-10 07:26:00,CGCA231160041,False
10007,001,2025-09-10,15,31,1,2025-09-10 15:31:00,WED3240401322,False
10007,001,2025-09-11,7,22,0,2025-09-11 07:22:00,CGCA231160041,False
10007,001,2025-09-11,15,32,1,2025-09-11 15:32:00,WED3240401322,False
10007,001,2025-09-12,7,28,0,2025-09-12 07:28:00,CGCA231160041,False
10007,001,2025-09-12,15,31,1,2025-09-12 15:31:00,WED3240401322,False
10007,001,2025-09-13,7,37,0,2025-09-13 07:37:00,CGCA231160041,False
10007,001,2025-09-13,15,32,1,2025-09-13 15:32:00,WED3240401322,False
10007,001,2025-09-15,7,28,0,2025-09-15 07:28:00,CGCA231160041,False
10007,001,2025-09-15,15,33,1,2025-09-15 15:33:00,WED3240401322,False
10009,001,2025-09-01,9,48,0,2025-09-01 09:48:00,CGCA231160041,False
10009,001,2025-09-01,11,59,1,2025-09-01 11:59:00,WED3240401322,False
10009,001,2025-09-03,10,26,0,2025-09-03 10:26:00,CGCA231160041,False
10009,001,2025-09-03,12,12,1,2025-09-03 12:12:00,WED3240401322,False
10009,001,2025-09-04,10,14,0,2025-09-04 10:14:00,CGCA231160041,False
10009,001,2025-09-04,11,58,1,2025-09-04 11:58:00,WED3240401322,False
10009,001,2025-09-05,10,7,0,2025-09-05 10:07:00,CGCA231160041,False
10009,001,2025-09-05,12,0,1,2025-09-05 12:00:00,WED3240401322,False
10009,001,2025-09-06,9,59,0,2025-09-06 09:59:00,CGCA231160041,False
10009,001,2025-09-06,12,28,1,2025-09-06 12:28:00,WED3240401322,False
10009,001,2025-09-07,10,8,0,2025-09-07 10:08:00,CGCA231160041,False
10009,001,2025-09-07,12,0,1,2025-09-07 12:00:00,WED3240401322,False
10009,001,2025-09-08,10,0,0,2025-09-08 10:00:00,CGCA231160041,False
10009,001,2025-09-08,11,53,1,2025-09-08 11:53:00,WED3240401322,False
10009,001,2025-09-10,10,13,0,2025-09-10 10:13:00,CGCA231160041,False
10009,001,2025-09-10,12,11,1,2025-09-10 12:11:00,WED3240401322,False
10009,001,2025-09-11,9,59,0,2025-09-11 09:59:00,CGCA231160041,False
10009,001,2025-09-11,12,12,1,2025-09-11 12:12:00,WED3240401322,False
10009,001,2025-09-12,10,8,0,2025-09-12 10:08:00,CGCA231160041,False
10009,001,2025-09-12,12,0,1,2025-09-12 12:00:00,WED3240401322,False
10009,001,2025-09-13,10,12,0,2025-09-13 10:12:00,CGCA231160041,False
10009,001,2025-09-13,12,0,1,2025-09-13 12:00:00,WED3240401322,False
10009,001,2025-09-14,9,59,0,2025-09-14 09:59:00,CGCA231160041,False
10009,001,2025-09-14,12,0,1,2025-09-14 12:00:00,WED3240401322,False
10009,001,2025-09-15,9,58,0,2025-09-15 09:58:00,CGCA231160041,False
10009,001,2025-09-15,12,7,1,2025-09-15 12:07:00,WED3240401322,False
10010,001,2025-09-01,7,39,0,2025-09-01 07:39:00,CGCA231160041,False
10010,001,2025-09-01,15,39,1,2025-09-01 15:39:00,WED3240401322,False
10010,001,2025-09-02,7,30,0,2025-09-02 07:30:00,CGCA231160041,False
10010,001,2025-09-02,15,31,1,2025-09-02 15:31:00,WED3240401322,False
10010,001,2025-09-03,7,25,0,2025-09-03 07:25:00,CGCA231160041,False
10010,001,2025-09-03,15,32,1,2025-09-03 15:32:00,WED3240401322,False
10010,001,2025-09-04,7,26,0,2025-09-04 07:26:00,CGCA231160041,False
10010,001,2025-09-04,15,29,1,2025-09-04 15:29:00,WED3240401322,False
10010,001,2025-09-05,7,28,0,2025-09-05 07:28:00,CGCA231160041,False
10010,001,2025-09-05,15,30,1,2025-09-05 15:30:00,WED3240401322,False
10010,001,2025-09-06,7,33,0,2025-09-06 07:33:00,CGCA231160041,False
10010,001,2025-09-06,15,31,1,2025-09-06 15:31:00,WED3240401322,False
10010,001,2025-09-08,7,25,1,2025-09-08 07:25:00,WED3240401322,False
10010,001,2025-09-08,15,31,1,2025-09-08 15:31:00,WED3240401322,False
10010,001,2025-09-09,7,30,0,2025-09-09 07:30:00,CGCA231160041,False
10010,001,2025-09-09,15,31,1,2025-09-09 15:31:00,WED3240401322,False
10010,001,2025-09-10,7,26,0,2025-09-10 07:26:00,CGCA231160041,False
10010,001,2025-09-10,15,32,1,2025-09-10 15:32:00,WED3240401322,False
