COMCODE,TOKEN,MODE_0_COUNT,MODE_1_COUNT
XXX,11480,31,0
XXX,11484,35,0
XXX,11486,31,0
XXX,11489,32,0
XXX,11490,33,0
XXX,11491,31,0
XXX,11492,29,0
XXX,11493,33,0
XXX,11494,28,0
XXX,11495,33,0
XXX,11497,31,0
XXX,11498,14,0
XXX,11499,33,0
XXX,11500,33,0
XXX,11502,27,0
XXX,11503,35,0
XXX,11504,31,0
XXX,11506,30,0
XXX,11507,29,0
XXX,11508,33,0
XXX,11510,32,0
XXX,11511,30,0
XXX,11512,35,0
XXX,11513,31,0
XXX,11514,271,0
XXX,11515,32,0
XXX,11520,31,0
XXX,11521,30,0
XXX,11522,20,0
XXX,11523,32,0
XXX,11524,26,0
XXX,11527,29,0
XXX,11529,29,0
XXX,11531,28,0
XXX,11532,33,0
