TOKEN,PDATE,INTIME1,OUTTIME1,INTIME2,OUTTIME2,INTIME3,OUTTIME3,INTIME4,OUTTIME4,INTIME,OUTTIME,TOTALTIME,REMARKS,MODE,PUNCH_STATUS,OT,SHIFT_STATUS,SHIFT_ST,SHIFT_ED,WORKHRS
10002,2025-09-16 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-16 07:00:00,2025-09-16 14:00:00,7.0
10002,2025-09-17 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-17 07:00:00,2025-09-17 14:00:00,7.0
10002,2025-09-18 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-18 07:00:00,2025-09-18 14:00:00,7.0
10002,2025-09-19 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-19 07:00:00,2025-09-19 14:00:00,7.0
10002,2025-09-20 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-20 07:00:00,2025-09-20 14:00:00,7.0
10002,2025-09-21 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-21 07:00:00,2025-09-21 14:00:00,7.0
10002,2025-09-22 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-22 14:00:00,2025-09-22 21:00:00,7.0
10002,2025-09-23 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-23 14:00:00,2025-09-23 21:00:00,7.0
10002,2025-09-24 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-24 14:00:00,2025-09-24 21:00:00,7.0
10002,2025-09-25 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-25 14:00:00,2025-09-25 21:00:00,7.0
10002,2025-09-26 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-26 14:00:00,2025-09-26 21:00:00,7.0
10002,2025-09-27 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-27 14:00:00,2025-09-27 21:00:00,7.0
10002,2025-09-28 00:00:00,,,,,,,,,,,,,,AB,0:00,2S,2025-09-28 14:00:00,2025-09-28 21:00:00,7.0
10002,2025-09-29 00:00:00,,,,,,,,,,,,,,AB,0:00,3S,2025-09-29 21:00:00,2025-09-30 07:00:00,10.0
10002,2025-09-30 00:00:00,,,,,,,,,,,,,,AB,0:00,3S,2025-09-30 21:00:00,2025-10-01 07:00:00,10.0
10003,2025-09-01 00:00:00,2025-09-01 13:50,2025-09-01 21:00,,,,,,,2025-09-01 13:50:00,2025-09-01 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-01 14:00:00,2025-09-01 21:00:00,7.0
10003,2025-09-02 00:00:00,2025-09-02 13:50,2025-09-02 21:00,,,,,,,2025-09-02 13:50:00,2025-09-02 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-02 14:00:00,2025-09-02 21:00:00,7.0
10003,2025-09-03 00:00:00,2025-09-03 13:50,2025-09-03 21:00,,,,,,,2025-09-03 13:50:00,2025-09-03 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-03 14:00:00,2025-09-03 21:00:00,7.0
10003,2025-09-04 00:00:00,2025-09-04 13:50,2025-09-04 21:00,,,,,,,2025-09-04 13:50:00,2025-09-04 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-04 14:00:00,2025-09-04 21:00:00,7.0
10003,2025-09-05 00:00:00,2025-09-05 13:50,2025-09-05 21:00,,,,,,,2025-09-05 13:50:00,2025-09-05 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-05 14:00:00,2025-09-05 21:00:00,7.0
10003,2025-09-06 00:00:00,2025-09-06 13:50,2025-09-06 21:00,,,,,,,2025-09-06 13:50:00,2025-09-06 21:00:00,07:10,,1.0,PR,0:10,2S,2025-09-06 14:00:00,2025-09-06 21:00:00,7.0
10003,2025-09-07 00:00:00,2025-09-07 20:50,2025-09-08 07:04,,,,,,,2025-09-07 20:50:00,2025-09-08 07:04:00,10:14,,1.0,PR,3:13,2S,2025-09-07 14:00:00,2025-09-07 21:00:00,7.0
10003,2025-09-08 00:00:00,2025-09-08 20:50,2025-09-09 07:03,,,,,,,2025-09-08 20:50:00,2025-09-09 07:03:00,10:13,,1.0,PR,0:13,3S,2025-09-08 21:00:00,2025-09-09 07:00:00,10.0
10003,2025-09-09 00:00:00,2025-09-09 20:50,2025-09-10 07:09,,,,,,,2025-09-09 20:50:00,2025-09-10 07:09:00,10:19,,1.0,PR,0:18,3S,2025-09-09 21:00:00,2025-09-10 07:00:00,10.0
10003,2025-09-10 00:00:00,2025-09-10 20:50,2025-09-11 07:13,,,,,,,2025-09-10 20:50:00,2025-09-11 07:13:00,10:23,,1.0,PR,0:22,3S,2025-09-10 21:00:00,2025-09-11 07:00:00,10.0
10003,2025-09-11 00:00:00,2025-09-11 20:50,2025-09-12 07:12,,,,,,,2025-09-11 20:50:00,2025-09-12 07:12:00,10:22,,1.0,PR,0:22,3S,2025-09-11 21:00:00,2025-09-12 07:00:00,10.0
10003,2025-09-12 00:00:00,2025-09-12 20:50,2025-09-13 07:00,,,,,,,2025-09-12 20:50:00,2025-09-13 07:00:00,10:10,,1.0,PR,0:09,3S,2025-09-12 21:00:00,2025-09-13 07:00:00,10.0
10003,2025-09-13 00:00:00,2025-09-13 13:50,2025-09-13 21:00,,,,,,,2025-09-13 13:50:00,2025-09-13 21:00:00,07:10,,1.0,HD,0:00,3S,2025-09-13 21:00:00,2025-09-14 07:00:00,10.0
10003,2025-09-14 00:00:00,2025-09-14 06:50,2025-09-14 14:11,,,,,,,2025-09-14 06:50:00,2025-09-14 14:11:00,07:21,,1.0,HD,0:00,3S,2025-09-14 21:00:00,2025-09-15 07:00:00,10.0
10003,2025-09-15 00:00:00,2025-09-15 13:50,2025-09-15 21:00,,,,,,,2025-09-15 13:50:00,2025-09-15 21:00:00,07:10,,1.0,PR,0:10,1S,2025-09-15 07:00:00,2025-09-15 14:00:00,7.0
10003,2025-09-16 00:00:00,,,,,,,,,,,,,,AB,0:00,1S,2025-09-16 07:00:00,2025-09-16 14:00:00,7.0
